название продукта;сылка на продукт;бренд;сылка на картинку;техт для проверки
LEGO DUPLO 10925 Конструктор ЛЕГО ДУПЛО Игровая комната;https://www.toy.ru/catalog/duplo/lego_duplo_10925_konstruktor_lego_duplo_igrovaya_komnata/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/c17/207_207_10240811ca8906714d1a9f41f2f5b358d/10925_boxprod_v29.jpg;LEGO DUPLO 10925 Конструктор ЛЕГО ДУПЛО Игровая комната
LEGO Ninjago 71712 Конструктор ЛЕГО Ниндзяго Императорский храм Безумия;https://www.toy.ru/catalog/nindzyago/lego_ninjago_71712_konstruktor_lego_nindzyago_imperatorskiy_khram_bezumiya/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/f1a/207_207_10240811ca8906714d1a9f41f2f5b358d/71712_boxprod_v29.jpg;LEGO Ninjago 71712 Конструктор ЛЕГО Ниндзяго Императорскийхрам Безумия
LEGO Classic 10696 Конструктор ЛЕГО Классик Набор для творчества среднего размера;https://www.toy.ru/catalog/lego_classic/lego_10696_lego_klassika_nabor_dlya_tvorchestva_srednego_razmera/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/725/207_207_10240811ca8906714d1a9f41f2f5b358d/3673520c_7bbe_11e4_9cbd_00155d093116.jpeg;LEGO Classic 10696 Конструктор ЛЕГО Классик Набор длятворчества среднего размера
LEGO City 60258 Конструктор ЛЕГО Город Turbo Wheels Тюнинг-мастерская;https://www.toy.ru/catalog/gorod/lego_city_60258_konstruktor_lego_gorod_turbo_wheels_tyuning_masterskaya/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/d1a/207_207_10240811ca8906714d1a9f41f2f5b358d/60258_boxprod_v29.jpg;LEGO City 60258 Конструктор ЛЕГО Город Turbo WheelsТюнинг-мастерская
LEGO Ninjago 71747 Конструктор ЛЕГО Ниндзяго Деревня Хранителей;https://www.toy.ru/catalog/nindzyago/lego_ninjago_71747_konstruktor_lego_nindzyago_derevnya_khraniteley/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/851/207_207_10240811ca8906714d1a9f41f2f5b358d/71747.jpg;LEGO Ninjago 71747 Конструктор ЛЕГО Ниндзяго ДеревняХранителей
LEGO City 60228 Конструктор ЛЕГО Ракета для запуска в далекий космос и пульт управления запуском;https://www.toy.ru/catalog/gorod/lego_city_60228_konstruktor_lego_raketa_dlya_zapuska_v_dalekiy_kosmos_i_pult_upravleniya_zapuskom/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/7d7/207_207_10240811ca8906714d1a9f41f2f5b358d/2.jpg;LEGO City 60228 Конструктор ЛЕГО Ракета для запуска в далекийкосмос и пульт управления запуском
LEGO City 60248 Конструктор ЛЕГО Город Пожарный спасательный вертолёт;https://www.toy.ru/catalog/gorod/lego_city_60248_konstruktor_lego_gorod_pozharnyy_spasatelnyy_vertolyet/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/d40/207_207_10240811ca8906714d1a9f41f2f5b358d/60248.jpg;LEGO City 60248 Конструктор ЛЕГО Город Пожарный спасательныйвертолёт
LEGO Star Wars 75271 Конструктор ЛЕГО Звездные войны Спидер Люка Сайуокера;https://www.toy.ru/catalog/zvezdnye_voyny/lego_star_wars_75271_konstruktor_lego_zvezdnye_voyny_spider_lyuka_sayuokera/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/b8f/207_207_10240811ca8906714d1a9f41f2f5b358d/75271_boxprod_v29.jpg;LEGO Star Wars 75271 Конструктор ЛЕГО Звездные войны СпидерЛюка Сайуокера
LEGO Super Heroes 76180 Конструктор ЛЕГО Супер Герои Бэтмен против Джокера: погоня на Бэтмобиле;https://www.toy.ru/catalog/super_geroi/lego_super_heroes_76180_konstruktor_lego_super_geroi_betmen_protiv_dzhokera_pogonya_na_betmobile/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/b58/207_207_10240811ca8906714d1a9f41f2f5b358d/76180.jpg;LEGO Super Heroes 76180 Конструктор ЛЕГО Супер Герои Бэтменпротив Джокера: погоня на Бэтмобиле
LEGO Classic 10692 Конструктор ЛЕГО Классик Набор для творчества;https://www.toy.ru/catalog/lego_classic/lego_10692_lego_klassika_nabor_dlya_tvorchestva/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/215/207_207_10240811ca8906714d1a9f41f2f5b358d/58b8a00c_7bbd_11e4_9cbd_00155d093116.jpeg;LEGO Classic 10692 Конструктор ЛЕГО Классик Набор длятворчества
LEGO Classic 10714 Конструктор ЛЕГО Классик Синяя базовая пластина;https://www.toy.ru/catalog/lego_classic/lego_classic_10714_lego_klassik_sinyaya_bazovaya_plastina/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/513/207_207_10240811ca8906714d1a9f41f2f5b358d/10714.jpg;LEGO Classic 10714 Конструктор ЛЕГО Классик Синяя базоваяпластина
LEGO Classic 10713 Конструктор ЛЕГО Классик Чемоданчик для творчества и конструирования;https://www.toy.ru/catalog/lego_classic/lego_classic_10713_lego_klassik_kubiki_i_mekhanizmy/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/ce6/207_207_10240811ca8906714d1a9f41f2f5b358d/10713.jpg;LEGO Classic 10713 Конструктор ЛЕГО Классик Чемоданчик длятворчества и конструирования
LEGO DUPLO 10886 Конструктор ЛЕГО ДУПЛО Мои первые машинки;https://www.toy.ru/catalog/duplo/lego_duplo_10886_konstruktor_lego_duplo_moi_pervye_mashinki/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/cdc/207_207_10240811ca8906714d1a9f41f2f5b358d/10886_3.jpg;LEGO DUPLO 10886 Конструктор ЛЕГО ДУПЛО Мои первые машинки
LEGO DUPLO 10895 Конструктор ЛЕГО ДУПЛО The LEGO Movie 2: Пришельцы с планеты DUPLO;https://www.toy.ru/catalog/duplo/lego_duplo_10895_konstruktor_lego_duplo_the_lego_movie_2_prisheltsy_s_planety_duplo/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/7b9/207_207_10240811ca8906714d1a9f41f2f5b358d/8.jpg;LEGO DUPLO 10895 Конструктор ЛЕГО ДУПЛО The LEGO Movie 2:Пришельцы с планеты DUPLO
LEGO City 60256 Конструктор ЛЕГО Город Turbo Wheels Гоночные автомобили;https://www.toy.ru/catalog/gorod/lego_city_60256_konstruktor_lego_gorod_turbo_wheels_gonochnye_avtomobili/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/68b/207_207_10240811ca8906714d1a9f41f2f5b358d/60256_boxprod_v29.jpg;LEGO City 60256 Конструктор ЛЕГО Город Turbo Wheels Гоночныеавтомобили
LEGO DUPLO 10915 Конструктор ЛЕГО ДУПЛО Грузовик Алфавит;https://www.toy.ru/catalog/duplo/lego_duplo_10915_konstruktor_lego_duplo_gruzovik_alfavit/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/021/207_207_10240811ca8906714d1a9f41f2f5b358d/10915_boxprod_v29.jpg;LEGO DUPLO 10915 Конструктор ЛЕГО ДУПЛО Грузовик Алфавит
LEGO DUPLO 10917 Конструктор ЛЕГО ДУПЛО Пожарная машина;https://www.toy.ru/catalog/duplo/lego_duplo_10917_konstruktor_lego_duplo_pozharnaya_mashina/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/905/207_207_10240811ca8906714d1a9f41f2f5b358d/10917_boxprod_v29.jpg;LEGO DUPLO 10917 Конструктор ЛЕГО ДУПЛО Пожарная машина
LEGO DUPLO 10929 Конструктор ЛЕГО ДУПЛО Модульный игрушечный дом;https://www.toy.ru/catalog/duplo/lego_duplo_10929_konstruktor_lego_duplo_modulnyy_igrushechnyy_dom/;LEGO;https://www.toy.ru/upload/resize_cache/iblock/5d3/207_207_10240811ca8906714d1a9f41f2f5b358d/10929_boxprod_v29.jpg;LEGO DUPLO 10929 Конструктор ЛЕГО ДУПЛО Модульный игрушечныйдом
